epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,141.298,0.76641,0.88526,1.15641,0.98584,0.875,0.955,0.67306,1.24841,0.91205,1.70594,0.0002576,0.0002576,0.0002576
90,142.778,0.76742,0.93364,1.22648,1,0.86907,0.96227,0.66335,1.25416,0.91067,1.65645,0.0002378,0.0002378,0.0002378
91,144.236,0.72724,1.27211,1.17636,1,0.86907,0.96227,0.66335,1.25416,0.91067,1.65645,0.000218,0.000218,0.000218
92,145.722,0.68998,1.17724,1.17301,1,0.84909,0.96227,0.65167,1.21814,0.9214,1.59506,0.0001982,0.0001982,0.0001982
93,147.312,0.6803,1.16681,1.10962,0.99387,0.875,0.971,0.66336,1.18053,0.94235,1.53328,0.0001784,0.0001784,0.0001784
94,148.774,0.7026,1.213,1.15708,0.97383,0.875,0.96227,0.67207,1.1421,0.9431,1.48964,0.0001586,0.0001586,0.0001586
95,150.235,0.65946,1.11795,1.0933,0.97383,0.875,0.96227,0.67207,1.1421,0.9431,1.48964,0.0001388,0.0001388,0.0001388
96,151.694,0.68939,1.01901,1.07029,0.96924,0.875,0.96227,0.68177,1.15035,0.95902,1.46557,0.000119,0.000119,0.000119
97,153.14,0.66007,0.99735,1.07305,0.97037,0.875,0.955,0.69532,1.13764,0.97245,1.44132,9.92e-05,9.92e-05,9.92e-05
98,154.612,0.71237,1.14064,1.08269,0.97397,0.875,0.94357,0.70813,1.11053,0.97139,1.41137,7.94e-05,7.94e-05,7.94e-05
99,156.039,0.60919,1.01248,1.03879,0.97397,0.875,0.94357,0.70813,1.11053,0.97139,1.41137,5.96e-05,5.96e-05,5.96e-05
100,157.484,0.59175,0.97833,1.0339,0.96969,0.875,0.94885,0.70022,1.09967,0.97063,1.39298,3.98e-05,3.98e-05,3.98e-05
